twa/tws;6;8;10;12;14;16;20
0;0;0;0;0;0;0;0
42.4;3.68;0;0;0;0;0;0
40.9;0;4.3;0;0;0;0;0
41.7;0;0;4.9;0;0;0;0
40.6;0;0;0;5.24;0;0;0
39.9;0;0;0;0;5.41;0;0
39.8;0;0;0;0;0;5.47;0
40.9;0;0;0;0;0;0;5.49
52;4.1;4.85;5.44;5.75;5.9;5.97;5.99
60;4.3;5.09;5.63;5.9;6.05;6.16;6.21
75;4.46;5.29;5.76;6.02;6.22;6.39;6.6
90;4.41;5.37;5.92;6.19;6.39;6.48;6.84
110;4.49;5.45;5.97;6.29;6.61;6.88;7.19
120;4.37;5.33;5.9;6.23;6.54;6.86;7.35
135;3.99;4.9;5.64;6.03;6.33;6.65;7.24
150;3.47;4.35;5.12;5.73;6.06;6.34;6.92
148.9;3.5;0;0;0;0;0;0
153.1;0;4.24;0;0;0;0;0
154.6;0;0;4.94;0;0;0;0
169.1;0;0;0;5.2;0;0;0
180;0;0;0;0;5.66;0;0
180;0;0;0;0;0;6.01;0
180;0;0;0;0;0;0;6.55
