0.7628429,4.231224,(-0.07373047, -0.01330566, 0.996582),52.3725,5.034105,0,414,2018-07-19T14:37:35+00:00,89.69,7.04
1.368848,2.85462,(-0.0513916, -0.0246582, 1.03064),52.3725,5.034105,0,409,2018-07-19T14:37:35+00:00,89.69,7.04
-0.473329,6.728271,(-0.1142578, 0.008056641, 0.9685059),52.37251,5.03419,0,407,2018-07-19T14:37:38+00:00,101.64,7.68
-0.1063177,3.077607,(-0.05297852, 0.001831055, 0.9853516),52.37251,5.03419,0,404,2018-07-19T14:37:38+00:00,101.64,7.68
0.6669765,2.8189,(-0.05053711, -0.01196289, 1.026367),52.37251,5.03419,0,404,2018-07-19T14:37:38+00:00,101.64,7.68
0.2597157,4.230873,(-0.07617188, -0.007080078, 1.026367),52.3725,5.034286,0,402,2018-07-19T14:37:41+00:00,100.00,6.25
-0.02147238,5.944193,(-0.1011963, 0.003540039, 0.9781494),52.37252,5.03435,0,411,2018-07-19T14:37:43+00:00,90.92,6.57
0.09298604,3.041359,(-0.05187988, -0.001586914, 0.9764404),52.37252,5.03435,0,404,2018-07-19T14:37:43+00:00,90.92,6.57
0.4570362,6.748493,(-0.1204834, -0.008178711, 1.018188),52.37252,5.03435,0,418,2018-07-19T14:37:43+00:00,90.92,6.57
-1.427853,2.470879,(-0.04138184, 0.02392578, 0.9589844),52.37252,5.034439,0,407,2018-07-19T14:37:46+00:00,93.66,7.91
1.281505,3.548579,(-0.06518555, -0.02355957, 1.051147),52.37252,5.034439,0,409,2018-07-19T14:37:46+00:00,93.66,7.91
-0.6513844,3.650378,(-0.06152344, 0.01098633, 0.9639893),52.37251,5.034534,0,402,2018-07-19T14:37:49+00:00,90.70,7.64
2.124931,4.658958,(-0.08337402, -0.03808594, 1.023071),52.37251,5.034534,0,410,2018-07-19T14:37:49+00:00,90.70,7.64
-1.723087,5.127178,(-0.08666992, 0.0291748, 0.9659424),52.3725,5.034595,0,409,2018-07-19T14:37:51+00:00,94.47,7.64
1.337876,3.963179,(-0.07116699, -0.02404785, 1.02356),52.3725,5.034595,0,419,2018-07-19T14:37:51+00:00,94.47,7.64
-0.1681481,2.603555,(-0.04272461, 0.003051758, 0.958374),52.3725,5.034595,0,420,2018-07-19T14:37:51+00:00,94.47,7.64
0.7940364,2.510231,(-0.04504395, -0.01330566, 1.027466),52.37249,5.034688,0,420,2018-07-19T14:37:54+00:00,91.43,7.52
-0.4440799,1.332386,(-0.02270508, 0.007568359, 0.9761963),52.37249,5.034688,0,413,2018-07-19T14:37:54+00:00,91.43,7.52
0.6186202,0.5292921,(-0.009399414, -0.01098633, 1.017456),52.37249,5.03478,0,417,2018-07-19T14:37:57+00:00,91.62,7.37
